Year,平均每日日照時數,平均每日日射量,行政區,ESH
2008,6.284711902113459,11.581500386231616,雲林縣,11.581500386231616
2009,6.2967121095750125,11.498977918586789,雲林縣,11.498977918586789
2010,6.171567460317461,11.047725614439324,雲林縣,11.047725614439324
2011,5.797365591397849,10.84345583717358,雲林縣,10.84345583717358
2012,5.614877950809542,10.808046617453735,雲林縣,10.808046617453735
2013,5.821410010240655,11.24425377624168,雲林縣,11.24425377624168
2014,6.309413722478239,11.864266052227345,雲林縣,11.864266052227345
2015,6.547691244239632,11.7593125,雲林縣,11.7593125
2016,5.54794262143122,10.438354158942037,雲林縣,10.438354158942037
2017,7.169318996415771,,雲林縣,
2018,6.610000000000001,12.903333333333334,雲林縣,12.903333333333334
2019,8.34752688172043,14.514551971326163,雲林縣,14.514551971326163
2020,9.047233626588469,17.283743890518085,雲林縣,17.283743890518085
2021,9.118568655060592,17.75670922939068,雲林縣,17.75670922939068
2022,8.914618162229049,17.26591371181089,雲林縣,17.26591371181089
2023,8.985336828513546,17.154477949197442,雲林縣,17.154477949197442
2024,8.74346949995525,16.301611624665977,雲林縣,16.301611624665977
1999,,15.585598054275474,嘉義縣,15.585598054275474
2000,,15.067166076785655,嘉義縣,15.067166076785655
2001,,15.605238799283155,嘉義縣,15.605238799283155
2002,,16.71181125192012,嘉義縣,16.71181125192012
2003,,16.509640745007683,嘉義縣,16.509640745007683
2004,,16.272821684587814,嘉義縣,16.272821684587814
2005,,15.076381976446491,嘉義縣,15.076381976446491
2006,,15.799796327328584,嘉義縣,15.799796327328584
2007,,16.00038081273565,嘉義縣,16.00038081273565
2008,8.058064516129033,14.565501421332344,嘉義縣,14.565501421332344
2009,6.776697388632873,14.40556458013313,嘉義縣,14.40556458013313
2010,6.684056067588325,13.110502176139272,嘉義縣,13.110502176139272
2011,6.22418202764977,12.333434715821816,嘉義縣,12.333434715821816
2012,6.015590625386231,11.976164611914472,嘉義縣,11.976164611914472
2013,6.193346134152585,12.098176139272914,嘉義縣,12.098176139272914
2014,6.681792114695341,12.702962792285373,嘉義縣,12.702962792285373
2015,7.368849206349206,13.350525038402456,嘉義縣,13.350525038402456
2016,6.485672969966629,16.15758064516129,嘉義縣,16.15758064516129
2017,6.998486244937857,17.47530549155146,嘉義縣,17.47530549155146
2018,6.99500153609831,14.506426651305684,嘉義縣,14.506426651305684
2019,8.477437079049981,14.97302197802198,嘉義縣,14.97302197802198
2020,9.240606060606062,17.824154447702835,嘉義縣,17.824154447702835
2021,9.145052696705925,17.632847328895718,嘉義縣,17.632847328895718
2022,8.94843339307049,17.022297320361837,嘉義縣,17.022297320361837
2023,8.950311409021086,16.72861681329423,嘉義縣,16.72861681329423
2024,8.933496695674933,16.948319701629263,嘉義縣,16.948319701629263
1999,4.372306707629288,8.90681203742494,臺南市,8.90681203742494
2000,4.460767210480781,10.120776109257198,臺南市,10.120776109257198
2001,4.52303955453149,10.445943036354327,臺南市,10.445943036354327
2002,5.237206861239119,11.349441052227345,臺南市,11.349441052227345
2003,5.050142089093701,10.845885432667693,臺南市,10.845885432667693
2004,5.285072302558398,10.946170776171051,臺南市,10.946170776171051
2005,4.814374039938556,10.226179979518689,臺南市,10.226179979518689
2006,4.60026113671275,10.120163466461854,臺南市,10.120163466461854
2007,5.11648652422846,10.261922491039426,臺南市,10.261922491039426
2008,4.891966382400198,10.131131318749228,臺南市,10.131131318749228
2009,5.381469534050179,10.708973118279568,臺南市,10.708973118279568
2010,6.007273425499232,10.370643881208398,臺南市,10.370643881208398
2011,6.504557731694828,10.017042382348832,臺南市,10.017042382348832
2012,6.352890557409467,9.82085886434663,臺南市,9.82085886434663
2013,6.638019713261649,7.466466397849462,臺南市,7.466466397849462
2014,6.938552227342551,13.413905273937532,臺南市,13.413905273937532
2015,7.367569124423963,15.360846262160775,臺南市,15.360846262160775
2016,6.616727227783958,14.697585218143615,臺南市,14.697585218143615
2017,6.886763099505036,17.121501075268817,臺南市,17.121501075268817
2018,6.5646953405017925,15.048924731182796,臺南市,15.048924731182796
2019,8.850956647892133,15.727912613073904,臺南市,15.727912613073904
2020,8.951441107403287,17.06004184543673,臺南市,17.06004184543673
2021,8.977611207117256,17.37027601766513,臺南市,17.37027601766513
2022,8.900525378305064,16.885906951661926,臺南市,16.885906951661926
2023,8.927652841781875,16.81853831711896,臺南市,16.81853831711896
2024,8.988715239154617,17.147494937394825,臺南市,17.147494937394825
1999,4.760372154726993,12.892278313084766,屏東縣,12.892278313084766
2000,4.763685408029123,13.263804659498208,屏東縣,13.263804659498208
2001,4.999942213444517,13.031481531908952,屏東縣,13.031481531908952
2002,5.563307731694828,14.208761968766,屏東縣,14.208761968766
2003,4.777637747946304,14.183081546784212,屏東縣,14.183081546784212
2004,4.621353355580275,14.176427815417805,屏東縣,14.176427815417805
2005,4.87562019969278,13.646500734655715,屏東縣,13.646500734655715
2006,5.062893625192012,13.56542601126472,屏東縣,13.56542601126472
2007,5.5096486175115205,13.89381620249783,屏東縣,13.89381620249783
2008,5.450385227413175,13.195058220889551,屏東縣,13.195058220889551
2009,7.168965693804403,10.170296114951356,屏東縣,10.170296114951356
2010,6.79969930875576,9.966653897849463,屏東縣,9.966653897849463
2011,5.21592517921147,9.65195324500768,屏東縣,9.65195324500768
