站名,平均氣溫,絕對最高氣溫,絕對最低氣溫,總日照時數h,總日射量MJ/ m2,Year,Month,行政區,days_in_month,平均每日日照時數,平均每日日射量
雲林分場,27,34.9,22.4,163.4,381.66,2000,8,雲林縣,31,5.270967741935484,12.311612903225807
義竹分場,27.4,34.3,23.3,,501.37,2000,8,嘉義縣,31,,16.17322580645161
畜試所,27.2,34.5,22.4,155.7,341.76,2000,8,臺南市,31,5.02258064516129,11.024516129032257
恆春畜試,27.9,32.7,23.4,146.0,558.59,2000,8,屏東縣,31,4.709677419354839,18.019032258064517
高雄農改,27.1,35,22.5,143.4,329.42,2000,8,屏東縣,31,4.625806451612903,10.626451612903226
蘭陽分場,27.5,34.8,23.1,168.8,503.82,2000,8,宜蘭縣,31,5.445161290322581,16.25225806451613
花蓮農改,27.5,34.7,22.9,151.8,530.76,2000,8,花蓮縣,31,4.896774193548388,17.121290322580645
斑鳩分場,26.1,33.4,21.5,146.1,346.95,2000,8,台東縣,31,4.712903225806452,11.191935483870967
桃園農改,25.9,33.3,18.7,197.0,385.65,2000,9,桃園市,30,6.566666666666666,12.854999999999999
五峰站,20,28,15.1,122.0,362.09,2000,9,新竹縣,30,4.066666666666666,12.069666666666667
台中農改,26.8,36.9,21.2,245.2,372.69,2000,9,台中市,30,8.173333333333334,12.423
雲林分場,26.3,34.8,20,181.3,406.54,2000,9,雲林縣,30,6.043333333333334,13.551333333333334
義竹分場,26.9,34.1,20,,552.11,2000,9,嘉義縣,30,,18.403666666666666
高雄農改,27.1,33.2,21.3,126.4,314.47,2000,9,屏東縣,30,4.213333333333334,10.482333333333335
斑鳩分場,24.8,32.4,18.7,120.7,282.13,2000,9,台東縣,30,4.023333333333333,9.404333333333334
花蓮農改,26.1,32.8,20.4,89.25,405.87,2000,9,花蓮縣,30,2.975,13.529
蘭陽分場,26,33.6,20.7,149.0,447.09,2000,9,宜蘭縣,30,4.966666666666667,14.902999999999999
茶改場,25.1,33,19.2,174.7,377.94,2000,9,桃園市,30,5.823333333333333,12.598
畜試所,26.8,34.1,21,151.0,352.4,2000,9,臺南市,30,5.033333333333333,11.746666666666666
恆春畜試,27.3,32.2,21.6,228.5,601.28,2000,9,屏東縣,30,7.616666666666666,20.042666666666666
農業試驗所,27.5,36.9,20,121.5,392.45,2000,9,台中市,30,4.05,13.081666666666667
苗栗農改,25.4,33.1,18.9,,463.13,2000,9,苗栗縣,30,,15.437666666666667
臺大溪頭,18.8,25.7,12.8,,285.7,2000,9,南投縣,30,,9.523333333333333
茶改場,23.7,32,16.7,144.4,295.84,2000,10,桃園市,31,4.658064516129032,9.543225806451613
桃園農改,24.6,33.5,18.5,154.8,304.7,2000,10,桃園市,31,4.993548387096775,9.829032258064515
五峰站,19.5,26.6,13,114.3,335.05,2000,10,新竹縣,31,3.6870967741935483,10.808064516129033
苗栗農改,23.75,33.9,16.7,,413.98,2000,10,苗栗縣,31,,13.354193548387098
台中農改,25.7,32.8,19.8,223.8,329.72,2000,10,台中市,31,7.219354838709678,10.636129032258065
臺大溪頭,19,25.2,14.5,,230.66,2000,10,南投縣,31,,7.440645161290322
雲林分場,25.3,33.9,18.7,151.9,355.6,2000,10,雲林縣,31,4.9,11.470967741935485
義竹分場,25.8,33.6,18.8,,477.31,2000,10,嘉義縣,31,,15.397096774193548
